point_id,repeat_id,nt_incl_kp1,nt_az_kp1,pose_px,pose_py,pose_pz,pose_qx,pose_qy,pose_qz,pose_qw,nr_incl,nr_az,date,time,v_mean,v_median,v_std,n_samples,fs
20260717_131601_1,1,34.944743,296.56505,-0.030955674,-0.76947784,0.52367092,0.1578486,0.25540439,0.81140335,0.50147485,34.944743,116.56505,2026-07-17,13:17:42,0.087896715,0.087971076,0.0022757351,1000,1000
20260717_131601_2,1,30.524614,302.00538,0.072063896,-0.76996007,0.52212779,0.12760971,0.23023953,0.84379454,0.46767114,30.524614,122.00538,2026-07-17,13:20:28,0.086427609,0.08632594,0.0018061058,1000,1000
